"ForestTypeGroup","AgeGroup","carbon","carbon_se","total","total_se","rfCarbon","rfCarbonUpper","rfCarbonLower","ShortName","Age","Area","Prop","originalArea","AreaSE","ForestTypeGroupCode"
"Ponderosa pine",100,71.9355860694681,2.44278003882641,126158166.52506,9384699.92928932,-10.5807243800255,-10.2214254054277,-10.9400233546232,"PP","101-110 years",2543460.73065594,0.000780326832658294,2541476,4.51,220
"Ponderosa pine",110,72.0172091704882,2.65246066529953,114444785.435426,8441620.38935543,-10.5927300031409,-10.2025899241918,-10.98287008209,"PP","111-120 years",1715685.79566277,0.000780326832658294,1714347,5.7,220
"Ponderosa pine",120,71.3484835718153,4.67125996290412,64772502.0785043,6836464.35619545,-10.4943697668234,-9.80729238446632,-11.1814471491806,"PP","121-130 years",1267309.9159327,0.000780326832658294,1266321,6.55,220
"Ponderosa pine",130,69.6834847455427,3.95640732327174,40674131.9178158,4450571.63520558,-10.2494715928259,-9.66753909307221,-10.8314040925796,"PP","131-140 years",700934.958355953,0.000780326832658294,700388,8.62,220
"Ponderosa pine",140,76.1990619595665,5.67581239018725,29023542.2089537,5412113.33866425,-11.2078223958872,-10.3729893207064,-12.042655471068,"PP","141-150 years",540818.01480854,0.000780326832658294,540396,9.76,220
"Ponderosa pine",150,71.6457698819089,4.14722805408813,18929355.8005593,2771891.39642679,-10.5380964489974,-9.92809687327918,-11.1480960247156,"PP","151-160 years",478673.521793138,0.000780326832658294,478300,10.23,220
"Ponderosa pine",160,80.6651246707081,8.21701878484762,24571076.7729016,4029520.23868769,-11.8647181159675,-10.6561089179552,-13.0733273139798,"PP","161-170 years",261312.909474983,0.000780326832658294,261109,14.25,220
"Ponderosa pine",170,74.0099223585959,8.20677860586931,9798999.90049717,2104232.2205875,-10.8858304025934,-9.67872739250962,-12.0929334126771,"PP","171-180 years",191174.178341071,0.000780326832658294,191025,16.29,220
"Ponderosa pine",180,85.9768386205041,8.90031461117929,8900980.21306708,1779640.26866599,-12.6459973736919,-11.3368848614861,-13.9551098858978,"PP","181-190 years",181355.516575835,0.000780326832658294,181214,15.64,220
"Ponderosa pine",190,88.0421279190534,10.1407432868024,5182936.46680207,1686620.98279941,-12.9497727097525,-11.4582103886694,-14.4413350308356,"PP","191-200 years",124723.324957122,0.000780326832658294,124626,19.7,220
"Ponderosa pine",200,95.3331154157556,5.66135107434943,37914611.9075081,4628050.29954167,-14.0221755825993,-13.1894695658803,-14.8548815993183,"PP","200+ years",598438.977992236,0.000780326832658294,597972,8.65,220
"Ponderosa pine",999,NA,NA,NA,NA,NA,NA,NA,"PP","Others",17662.782743314,0.000780326832658294,17649,50.71,220
"Ponderosa pine",NA,46.3957792565222,20.3617819543742,1278869.38929393,731904.827395815,-6.82417395245382,-3.82923897635788,-9.81910892854975,NA,NA,NA,NA,NA,NA,NA
"Redwood",0,44.0171282382514,0.875051571041627,386574.192978357,290624.675832288,-6.47430746500648,-6.34559954730691,-6.60301538270606,"RedW","0-10 years",9418,0,9418,51.84,340
"Redwood",10,57.3445433707844,9.43948161041961,1509255.77436365,810890.164652364,-8.43458490098004,-7.04616842080126,-9.82300138115882,"RedW","11-20 years",36253,0,36253,37.7,340
"Redwood",20,200.713010768107,36.9158062225955,6961080.09330862,3470419.89552409,-29.5220927841135,-24.0922910371657,-34.9518945310613,"RedW","21-30 years",74931,0,74931,27.66,340
"Redwood",30,93.0786852006522,17.5795582736898,3336497.04516429,1644406.89935127,-13.6905802478928,-11.1048716858345,-16.2762888099512,"RedW","31-40 years",43725,0,43725,37.83,340
"Redwood",40,163.800300317417,15.5424374306456,4905077.31785855,3015452.802027,-24.0927463821635,-21.8066699680693,-26.3788227962576,"RedW","41-50 years",44931,0,44931,36.31,340
"Redwood",50,235.397519028586,68.5676701312483,7689055.68459877,3991380.9188902,-34.6237016290939,-24.5383508495975,-44.7090524085903,"RedW","51-60 years",93672,0,93672,24.64,340
"Redwood",60,275.470260137895,36.0770147584339,14454015.8718988,6019713.6063307,-40.5178445977806,-35.2114174110406,-45.8242717845206,"RedW","61-70 years",87052,0,87052,26.85,340
"Redwood",70,247.080634033166,25.1007507839785,18651032.7724219,6475847.91269666,-36.3421253817582,-32.6501539905679,-40.0340967729485,"RedW","71-80 years",36630,0,36630,35.09,340
"Redwood",80,226.862190714423,40.2879009950104,4555187.27228944,2890112.8329104,-33.3682735257074,-27.442483529831,-39.2940635215838,"RedW","81-90 years",85070,0,85070,26.53,340
"Redwood",90,360.160820051095,30.897125150475,15076920.5361811,6698903.75686723,-52.9746482605221,-48.4301108039616,-57.5191857170826,"RedW","91-100 years",29872,0,29872,45.29,340
"Redwood",100,369.982732749249,58.2272118351904,9203135.76663823,4947657.12136692,-54.4193150356489,-45.8549018778753,-62.9837281934225,"RedW","101-110 years",39620,0,39620,38.27,340
"Redwood",110,447.200032015239,19.2118740993786,6660117.81225092,4711120.92512661,-65.7769059797804,-62.9511064586231,-68.6027055009377,"RedW","111-120 years",22640,0,22640,53.71,340
